image,label,distance_m,w_px,h_px,est_width_cm,est_height_cm,gt_width_cm,gt_height_cm
test_images/board.jpeg,board,2.4,948,1410,55.401,80.53,50.18,68.42
test_images/monopoly.jpeg,monopoly,2.4,645,634,37.694,36.21,35.7,35.7
test_images/drawer.jpeg,drawer,2.4,753,1502,44.005,85.784,40.9,80.6
test_images/plushie.jpeg,plushie,2.5,605,616,36.829,36.648,35.7,35.2
test_images/laptop.jpeg,laptop,2.5,474,662,28.855,39.384,30.6,40.5
test_images/study_table.jpeg,table,2.5,753,1210,45.839,71.987,41.3,68.3
test_images/purse.jpeg,purse,2.5,468,228,28.49,13.564,25.3,11.9
test_images/box.jpeg,box,2.5,565,548,34.394,32.602,30.4,30.4
test_images/trolley.jpeg,trolley,2.5,851,1159,51.805,68.953,48,68
test_images/mat.jpeg,mat,2.5,542,2003,43.977,119.269,35.6,100.5
test_images/trashbin.jpeg,bin,2.5,673,924,54.606,55.02,40.3,48.2
test_images/desk.jpeg,desk,2.5,1694,2448,137.448,145.767,125.8,160.2
test_images/trashcan.jpeg,can,2.5,1067,2162,86.575,128.737,82.7,130.6
test_images/bottle.jpeg,bottle,2.5,154,274,9.375,16.301,6.4,14.3
test_images/journal.jpeg,journal,2.5,359,531,21.854,31.591,18.1,30.2
test_images/skinfront.jpeg,skin1,2.5,222,302,13.514,17.967,10.5,15.3
test_images/skinside.jpeg,skin2,2.5,119,337,7.244,20.049,6.4,15.3
test_images/tankfront.jpeg,tank1,2.5,822,525,50.039,31.234,55,30
test_images/tankside.jpeg,tank2,2.5,405,536,24.654,31.888,20,30
test_images/boxes.jpeg,boxes,2.5,314,765,19.115,45.512,15.3,42.8
